Name(???),Commodities,Pesticides,MRL(mg/kg)
??,Korean Plum,Carbofuran,0.7
??,Korean Plum,Kresoxim-methyl,2
??,Korean Plum,Chlorothalonil,7
??,Korean Plum,Chlorfenapyr,0.7
??,Korean Plum,Chlorpyrifos,1
??,Korean Plum,Clothianidin,0.5
??,Korean Plum,Clofentezine,0.2
??,Korean Plum,Tebuconazole,1
??,Korean Plum,Tetraconazole,0.3
??,Korean Plum,Tralomethrin,0.5
??,Korean Plum,Trichlorfon(DEP),1
??,Korean Plum,Triflumizole,0.1
??,Korean Plum,Thiophanate-methyl,0.3
??,Korean Plum,Permethrin(Permetrin),5
??,Korean Plum,Fenitrothion : MEP,0.2
??,Korean Plum,Fenvalerate,10
??,Korean Plum,Fenbuconazole,2
??,Korean Plum,Fenbutatin oxide,5
??,Korean Plum,Furathiocarb,0.7
??,Korean Plum,Propiconazole,1
??,Korean Plum,Flonicamid,2
??,Korean Plum,Flubendiamide,1
??,Korean Plum,Pyraclostrobin,3
??,Korean Plum,Pyrethrins,1
??,Korean Plum,Pirimicarb,1
??,Korean Plum,Pymetrozine,0.5
??,Korean cabbage,Glufosinate(ammonium),0.05
??,Korean cabbage,Nabam,2
??,Korean cabbage,Napropamide,0.05
??,Korean cabbage,Novaluron,0.05
??,Korean cabbage,Daminozide,N.D.
??,Korean cabbage,Diazinon,0.05
??,Korean cabbage,Deltamethrin,0.3
??,Korean cabbage,Dinotefuran,1
??,Korean cabbage,Diniconazole,0.1
??,Korean cabbage,Dimethomorph,0.7
??,Korean cabbage,Dimethyl dithiocarbamates,2
??,Korean cabbage,Dimethylvinphos,0.05
??,Korean cabbage,Dicofol,1
??,Korean cabbage,Dichlorvos : DDVP,0.2
??,Korean cabbage,Dichlofluanid,15
??,Korean cabbage,Dithianon,0.05
??,Korean cabbage,Dithiocarbamates,2
??,Korean cabbage,Diflubenzuron,0.7
??,Korean cabbage,Lufenuron,0.07
??,Korean cabbage,maneb,2
??,Korean cabbage,Myclobutanil,1
??,Korean cabbage,Mandipropamid,1
??,Korean cabbage,Mancozeb,2
??,Korean cabbage,Malathion,0.2
??,Korean cabbage,Maleic hydrazide,25
??,Korean cabbage,Methamidophos,1
??,Korean cabbage,Metaflumizone,0.7
??,Korean cabbage,Metalaxyl,0.2
??,Korean cabbage,Methomyl,1
??,Korean cabbage,Methoxyfenozide,2
??,Korean cabbage,Metribuzin,0.5
??,Korean cabbage,Metaldehyde,1
??,Korean cabbage,Metiram,2
??,Korean cabbage,Valifenalate,0.3
??,Korean cabbage,Benalaxyl,0.1
??,Korean cabbage,Benomyl,0.7
??,Korean cabbage,Bensultap,2
??,Korean cabbage,Bentazone,0.2
??,Korean cabbage,Benthiavalicarb-isopropyl,0.3
??,Korean cabbage,Benfuracarb,0.3
??,Korean cabbage,Bistrifluron,1
??,Korean cabbage,Bifenthrin,0.7
??,Korean cabbage,Cymoxanil,0.2
??,Korean cabbage,Cymoxanil,0.2
??,Korean cabbage,Cyazofamid,0.7
??,Korean cabbage,Cyantraniliprole,0.7
??,Korean cabbage,Cyclaniliprole,0.2
??,Korean cabbage,Cypermethrin,2
??,Korean cabbage,Cyfluthrin,2
??,Korean cabbage,Cyhalothrin,0.2
??,Korean cabbage,Sulfoxaflor,0.1
??,Korean cabbage,Sethoxydim,3
??,Korean cabbage,Spinetoram,0.3
??,Korean cabbage,Spinosad,0.5
??,Korean cabbage,Spirotetramat,2
??,Korean cabbage,Hydrogen cyanide,5
??,Korean cabbage,Ametoctradin,2
??,Korean cabbage,Amisulbrom,0.7
??,Korean cabbage,Abamectin,0.1
??,Korean cabbage,Acetamiprid,1
??,Korean cabbage,Acephate,2
??,Korean cabbage,Isofenphos,0.05
??,Korean cabbage,Azoxystrobin,0.05
??,Korean cabbage,Azinphos-methyl,0.2
??,Korean cabbage,Emamectin benzoate,0.02
??,Korean cabbage,Ethaboxam,0.7
??,Korean cabbage,Etofenprox,0.7
??,Korean cabbage,Ethoprophos(Ethoprop),0.02
??,Korean cabbage,Ethiofencarb,5
??,Korean cabbage,"Endosulfan : Sum of £\,£]-endosulfan and endosulfan sulfate",0.2
??,Korean cabbage,Oxadixyl,0.1
??,Korean cabbage,Oxamyl,1
??,Korean cabbage,Oxolinic acid,1
??,Korean cabbage,Imidacloprid,0.3
??,Korean cabbage,Iprovalicarb,0.7
??,Korean cabbage,Indoxacarb,0.7
??,Korean cabbage,Zoxamide,1
??,Korean cabbage,Zineb,2
??,Korean cabbage,Ziram,2
??,Korean cabbage,Cadusafos,0.05
??,Korean cabbage,Carbaryl : NAC,0.5
??,Korean cabbage,Carbendazim,0.7
??,Korean cabbage,Carbosulfan,0.3
??,Korean cabbage,Carbofuran,0.3
??,Korean cabbage,Cartap hydrochloride,2
??,Korean cabbage,Captan,3
??,Korean cabbage,Kresoxim-methyl,0.03
??,Korean cabbage,Chromafenozide,1
??,Korean cabbage,Chlorantraniliprole,1
??,Korean cabbage,Chlorothalonil,2
??,Korean cabbage,Chlorfenapyr,0.2
??,Korean cabbage,Chlorpropham,0.05
??,Korean cabbage,Chlorfluazuron,0.3
??,Korean cabbage,Chlorpyrifos,0.2
??,Korean cabbage,Chlorpyrifos-methyl,0.07
??,Korean cabbage,Clothianidin,0.2
??,Korean cabbage,Terbufos,0.05
??,Korean cabbage,Tebuconazole,0.05
??,Korean cabbage,Tebufenozide,0.3
??,Korean cabbage,Tebupirimfos,0.01
??,Korean cabbage,Teflubenzuron,1
??,Korean cabbage,Tefluthrin,0.1
??,Korean cabbage,Tralomethrin,0.3
??,Korean cabbage,Trichlorfon(DEP),0.2
??,Korean cabbage,Trifloxystrobin,0.2
??,Korean cabbage,Trifluralin,0.05
??,Korean cabbage,Thiram,2
??,Korean cabbage,Thiamethoxam,0.5
??,Korean cabbage,Thiacloprid,0.2
??,Korean cabbage,Thiodicarb,1
??,Korean cabbage,Thiobencarb,0.2
??,Korean cabbage,Thiocyclam,2
??,Korean cabbage,Thiophanate-methyl,0.7
??,Korean cabbage,Parathion,0.3
??,Korean cabbage,Parathion-Methyl,0.2
??,Korean cabbage,Famoxadone,0.3
??,Korean cabbage,Permethrin(Permetrin),5
??,Korean cabbage,Ferbam,2
??,Korean cabbage,Fenamiphos,0.05
??,Korean cabbage,Fenitrothion : MEP,0.05
??,Korean cabbage,Pendimethalin,0.07
??,Korean cabbage,Fenvalerate,0.3
??,Korean cabbage,Fenbutatin oxide,2
??,Korean cabbage,Phenthoate : PAP,0.03
??,Korean cabbage,Phosalone,2
??,Korean cabbage,Fosetyl-aluminium,7
??,Korean cabbage,Phoxim,0.05
??,Korean cabbage,Furathiocarb,0.3
??,Korean cabbage,Probenazole,0.07
??,Korean cabbage,Prothiofos,0.05
??,Korean cabbage,Propamocarb,1
??,Korean cabbage,Profenofos,0.7
??,Korean cabbage,Propineb,2
??,Korean cabbage,Prohexadione-Calcium,2
??,Korean cabbage,Flonicamid,0.7
??,Korean cabbage,Flubendiamide,1
??,Korean cabbage,Flusulfamide,0.05
??,Korean cabbage,Fluazinam,0.05
??,Korean cabbage,Fluazifop-butyl,0.7
??,Korean cabbage,Fluopicolide,0.3
??,Korean cabbage,Flufenoxuron,0.2
??,Korean cabbage,Fluxapyroxad,0.05
??,Korean cabbage,Pyrazophos,0.1
??,Korean cabbage,Pyraclostrobin,0.2
??,Korean cabbage,Pyraclofos,0.05
??,Korean cabbage,Pyrethrins,1
??,Korean cabbage,Pyridaryl(Pyridalyl),0.7
??,Korean cabbage,Pyrimethanil,0.2
??,Korean cabbage,Pirimicarb,2
??,Korean cabbage,Pirimiphos-methyl,0.7
??,Korean cabbage,Pyrifluquinazon,0.3
??,Korean cabbage,Pymetrozine,0.2
??,Korean cabbage,Hexaflumuron,0.3
??(??),Korean cabbage(Dried),Diazinon,0.3
??(??),Korean cabbage(Dried),Dimethomorph,2.5
??(??),Korean cabbage(Dried),Lufenuron,3
??(??),Korean cabbage(Dried),Metalaxyl,5
??(??),Korean cabbage(Dried),Methoxyfenozide,8
??(??),Korean cabbage(Dried),Cymoxanil,3
??(??),Korean cabbage(Dried),Cymoxanil,3
??(??),Korean cabbage(Dried),Acetamiprid,3
??(??),Korean cabbage(Dried),Etofenprox,2.5
??(??),Korean cabbage(Dried),Indoxacarb,3.5
??(??),Korean cabbage(Dried),Zoxamide,15
??(??),Korean cabbage(Dried),Chlorfenapyr,1
??(??),Korean cabbage(Dried),Tebufenozide,3
??(??),Korean cabbage(Dried),Teflubenzuron,0.2
??(??),Korean cabbage(Dried),Prothiofos,0.7
??(??),Korean cabbage(Dried),Flufenoxuron,2
??,Korean melon,Nabam,2
??,Korean melon,Novaluron,0.5
??,Korean melon,Nuarimol,0.2
??,Korean melon,Diazinon,0.02
??,Korean melon,Dazomet,0.1
??,Korean melon,Dinotefuran,2
??,Korean melon,Dimethomorph,0.5
??,Korean melon,Dimethyl dithiocarbamates,2
??,Korean melon,DBEDC,2
??,Korean melon,Dicofol,1
??,Korean melon,Dichlofluanid,15
??,Korean melon,Dithiocarbamates,2
??,Korean melon,Difenoconazole,0.3
??,Korean melon,Diflubenzuron,1
??,Korean melon,Lepimectin,0.1
??,Korean melon,maneb,2
??,Korean melon,Myclobutanil,1
??,Korean melon,Mandipropamid,0.3
??,Korean melon,Mancozeb,2
??,Korean melon,Malathion,0.5
??,Korean melon,Metaflumizone,0.3
??,Korean melon,Metalaxyl,1
??,Korean melon,Methomyl,0.2
??,Korean melon,Methoxyfenozide,0.3
??,Korean melon,Metrafenone,2
??,Korean melon,Metiram,2
??,Korean melon,Mepanipyrim,0.3
??,Korean melon,Meptyldinocap,1
??,Korean melon,Milbemectin,0.05
??,Korean melon,Valifenalate,0.3
??,Korean melon,Benalaxyl,1
??,Korean melon,Benomyl,1
??,Korean melon,Benthiavalicarb-isopropyl,0.5
??,Korean melon,Benfuracarb,0.1
??,Korean melon,Boscalid,5
??,Korean melon,Buprofezin,1
??,Korean melon,Bistrifluron,0.5
??,Korean melon,Bitertanol,0.2
??,Korean melon,Bifenazate,0.7
??,Korean melon,Bifenthrin,0.1
??,Korean melon,Vinclozolin,1
??,Korean melon,Cyromazine,0.5
??,Korean melon,Cymoxanil,0.1
??,Korean melon,Cymoxanil,0.1
??,Korean melon,Cyazofamid,0.5
??,Korean melon,Cyantraniliprole,0.5
??,Korean melon,Cyenopyrafen,0.5
??,Korean melon,Cyflumetofen,1
??,Korean melon,Cyhalothrin,0.1
??,Korean melon,Sulfoxaflor,0.5
??,Korean melon,Sethoxydim,2
??,Korean melon,Spinetoram,0.2
??,Korean melon,Spinosad,0.3
??,Korean melon,Spirodiclofen,0.5
??,Korean melon,Spiromesifen,0.5
??,Korean melon,Spirotetramat,1
??,Korean melon,Simeconazole,0.3
??,Korean melon,Ametoctradin,1
??,Korean melon,Amisulbrom,0.5
??,Korean melon,Amitraz,0.05
??,Korean melon,Abamectin,0.1
??,Korean melon,Acetamiprid,0.5
??,Korean melon,Isopyrazam,0.5
??,Korean melon,Azoxystrobin,0.2
??,Korean melon,Azinphos-methyl,0.3
??,Korean melon,Acrinathrin,0.3
??,Korean melon,Emamectin benzoate,0.05
??,Korean melon,Ethaboxam,0.5
??,Korean melon,Etofenprox,1
??,Korean melon,Etoxazole,0.3
??,Korean melon,Ethiofencarb,5
??,Korean melon,"Endosulfan : Sum of £\,£]-endosulfan and endosulfan sulfate",0.1
??,Korean melon,Iminoctadine,0.3
??,Korean melon,Imidacloprid,0.3
??,Korean melon,Imicyafos,0.1
??,Korean melon,Iprovalicarb,0.3
??,Korean melon,Indoxacarb,1
??,Korean melon,Zoxamide,0.5
??,Korean melon,Zineb,2
??,Korean melon,Ziram,2
??,Korean melon,Cadusafos,0.01
??,Korean melon,Carbaryl : NAC,0.5
??,Korean melon,Carbendazim,1
??,Korean melon,Carbosulfan,0.1
??,Korean melon,Carbofuran,0.1
??,Korean melon,Kresoxim-methyl,1
??,Korean melon,Chlorantraniliprole,1
??,Korean melon,Chlorothalonil,5
??,Korean melon,Chlorfenapyr,0.5
??,Korean melon,Chlorpropham,0.05
??,Korean melon,Clothianidin,1
??,Korean melon,Terbufos,0.05
??,Korean melon,Tebufenpyrad,0.1
??,Korean melon,Tetradifon,1
??,Korean melon,Tetraconazole,1
??,Korean melon,Triadimenol,0.5
??,Korean melon,Trifloxystrobin,1
??,Korean melon,Triflumizole,1
??,Korean melon,Thidiazuron,0.1
??,Korean melon,Thiram,2
??,Korean melon,Thiamethoxam,0.5
??,Korean melon,Thiacloprid,0.5
??,Korean melon,Thiodicarb,0.2
??,Korean melon,Thiophanate-methyl,1
??,Korean melon,Thifluzamide,0.3
??,Korean melon,Parathion,0.3
??,Korean melon,Famoxadone,0.5
??,Korean melon,Ferbam,2
??,Korean melon,Fenarimol,0.3
??,Korean melon,Fenamidone,0.3
??,Korean melon,Fenamiphos,0.05
??,Korean melon,Pendimethalin,0.1
??,Korean melon,Fenbuconazole,0.2
??,Korean melon,Penconazole,0.1
??,Korean melon,Penthiopyrad,0.5
??,Korean melon,Fenpyrazamine,0.5
??,Korean melon,Fenpyroximate,0.1
??,Korean melon,Fosetyl-aluminium,10
??,Korean melon,Fosthiazate,0.5
??,Korean melon,Forchlorfenuron,0.05
??,Korean melon,Folpet,1
??,Korean melon,Furathiocarb,0.1
??,Korean melon,Prochloraz,0.5
??,Korean melon,Propamocarb,1
??,Korean melon,Propineb,2
??,Korean melon,Flonicamid,0.3
??,Korean melon,Fludioxonil,0.5
??,Korean melon,Flubendiamide,1
??,Korean melon,Flusilazole,0.2
??,Korean melon,Fluazifop-butyl,0.1
??,Korean melon,Fluensulfone,0.05
??,Korean melon,Fluopyram,2
??,Korean melon,Fluopicolide,0.5
??,Korean melon,Fluquinconazole,0.5
??,Korean melon,Flutianil,0.05
??,Korean melon,Flufenoxuron,0.7
??,Korean melon,Fluxapyroxad,0.3
??,Korean melon,Pyraclostrobin,0.5
??,Korean melon,Pyridaben,1
??,Korean melon,Pyridaryl(Pyridalyl),0.5
??,Korean melon,Pyrimethanil,0.3
??,Korean melon,Pirimicarb,1
??,Korean melon,Pyriofenone,2
??,Korean melon,Pyrifluquinazon,0.2
??,Korean melon,Pymetrozine,0.1
??,Korean melon,Picoxystrobin,2
??,Korean melon,Haloxyfop,0.1
??,Korean melon,Hexaconazole,0.1
????(?),Korean wasabi(leaves),Spinetoram,1
????(?),Korean wasabi(leaves),Flubendiamide,20
??,Leek,Novaluron,10
??,Leek,Dichlofluanid,15
??,Leek,Myclobutanil,1
??,Leek,Maleic hydrazide,25
??,Leek,Methoxyfenozide,2
??,Leek,Metribuzin,0.5
??,Leek,Benomyl,1
??,Leek,Bentazone,0.2
??,Leek,Boscalid,20
??,Leek,Bifenthrin,0.5
??,Leek,Cypermethrin,0.5
??,Leek,Cyfluthrin,2
??,Leek,Cyhalothrin,2
??,Leek,Sethoxydim,10
??,Leek,Spinetoram,0.5
??,Leek,Spinosad,1
??,Leek,Amisulbrom,3
??,Leek,Abamectin,0.3
??,Leek,Acephate,0.1
??,Leek,Emamectin benzoate,0.4
??,Leek,Etoxazole,3
??,Leek,Ethiofencarb,5
??,Leek,Oxamyl,1
??,Leek,Oxolinic acid,10
??,Leek,Iminoctadine,1
??,Leek,Imidacloprid,3
??,Leek,Iprovalicarb,0.3
??,Leek,Indoxacarb,3
??,Leek,Zoxamide,3
??,Leek,Cadusafos,0.5
??,Leek,Carbendazim,1
??,Leek,Chlorfenapyr,3
??,Leek,Clothianidin,2
??,Leek,Tefluthrin,2
??,Leek,Triflumizole,7
??,Leek,Thiamethoxam,0.1
??,Leek,Thiobencarb,0.2
??,Leek,Thiophanate-methyl,1
??,Leek,Parathion-Methyl,1
??,Leek,Permethrin(Permetrin),0.5
??,Leek,Fenitrothion : MEP,0.05
??,Leek,Pendimethalin,0.2
??,Leek,Fenvalerate,0.5
??,Leek,Fenbutatin oxide,2
??,Leek,Fenpyrazamine,1
??,Leek,Fosthiazate,2
??,Leek,Procymidone,5
??,Leek,Fludioxonil,7
??,Leek,Flubendiamide,3
??,Leek,Flutolanil,10
??,Leek,Fluxapyroxad,5
??,Leek,Pyraclostrobin,10
??,Leek,Pyraclofos,2
??,Leek,Pyrethrins,1
??,Leek,Pyridaryl(Pyridalyl),10
??,Leek,Pirimicarb,0.5
??,Lemon,Dicofol,1
??,Lemon,Dichlofluanid,15
??,Lemon,Maleic hydrazide,40
??,Lemon,Mevinphos,0.2
??,Lemon,Methamidophos,0.5
??,Lemon,Methomyl,1
??,Lemon,Methiocarb,0.05
??,Lemon,Monocrotophos,0.2
??,Lemon,Benfuracarb,2
??,Lemon,Bromopropylate,5
??,Lemon,Cypermethrin,2
??,Lemon,Cyfluthrin,2
??,Lemon,Cyhalothrin,1
??,Lemon,Cyhexatin,2
??,Lemon,Sethoxydim,1
??,Lemon,Simazine,0.25
??,Lemon,Acephate,5
??,Lemon,Isofenphos,0.2
??,Lemon,Azocyclotin,2
??,Lemon,Azinphos-methyl,1
??,Lemon,Ethephon,2
??,Lemon,Ethiofencarb,5
??,Lemon,Ethylene dibromide : EDB,0.2
??,Lemon,"Endosulfan : Sum of £\,£]-endosulfan and endosulfan sulfate",0.1
??,Lemon,Omethoate,0.01
??,Lemon,Ortho-PhenylPhenol,10
??,Lemon,Oxamyl,5
??,Lemon,Imazalil,5
??,Lemon,"2,4-D",1
??,Lemon,Carbosulfan,2
??,Lemon,Carbofuran,2
??,Lemon,Chlorpropham,0.05
??,Lemon,Clofentezine,0.5
??,Lemon,Tetradifon,2
??,Lemon,Thiabendazole,10
??,Lemon,Thiodicarb,1
??,Lemon,Permethrin(Permetrin),0.5
??,Lemon,Fenamiphos,0.5
??,Lemon,Fenvalerate,2
??,Lemon,Fenbuconazole,1
??,Lemon,Fenbutatin oxide,5
??,Lemon,Formothion,0.2
??,Lemon,Phosalone,1
??,Lemon,Phosphamidone,0.4
??,Lemon,Folpet,2
??,Lemon,Furathiocarb,2
??,Lemon,Propargite,5
??,Lemon,Pyrethrins,1
??,Lemon,Pirimicarb,0.05
??,Lemon,Pirimiphos-methyl,1
???,Lettuce(head),Glufosinate(ammonium),0.05
???,Lettuce(head),Dimethoate,2
???,Lettuce(head),Dicofol,1
???,Lettuce(head),Dicloran,10
???,Lettuce(head),Dichlofluanid,10
???,Lettuce(head),Mandipropamid,30
???,Lettuce(head),Malathion,2
???,Lettuce(head),Maleic hydrazide,25
???,Lettuce(head),Mevinphos,0.5
???,Lettuce(head),Methamidophos,1
???,Lettuce(head),Metalaxyl,2
???,Lettuce(head),Methomyl,5
???,Lettuce(head),Methoxychlor,14
???,Lettuce(head),Metribuzin,0.5
???,Lettuce(head),Methiocarb,0.2
???,Lettuce(head),Mepanipyrim,3
???,Lettuce(head),Benomyl,5
???,Lettuce(head),Bentazone,0.2
???,Lettuce(head),Benfuracarb,0.1
???,Lettuce(head),Boscalid,20
???,Lettuce(head),Bifenthrin,3
???,Lettuce(head),Vinclozolin,2
???,Lettuce(head),Cyantraniliprole,5
???,Lettuce(head),Cypermethrin,2
???,Lettuce(head),Cyfluthrin,2
???,Lettuce(head),Cyhalothrin,2
???,Lettuce(head),Sulfoxaflor,5
???,Lettuce(head),Sethoxydim,10
???,Lettuce(head),Spinetoram,1.5
???,Lettuce(head),Acephate,5
???,Lettuce(head),Aluminium phosphide(Hydrogen phosphide),0.05
???,Lettuce(head),Ethoprophos(Ethoprop),0.02
???,Lettuce(head),Ethiofencarb,10
???,Lettuce(head),Omethoate,0.01
???,Lettuce(head),Oxadixyl,0.1
???,Lettuce(head),Oxamyl,1
???,Lettuce(head),Imidacloprid,0.7
???,Lettuce(head),"2,4-D",0.1
???,Lettuce(head),Iprodione,10
???,Lettuce(head),Carbaryl : NAC,1
???,Lettuce(head),Carbendazim,5
???,Lettuce(head),Carbosulfan,0.1
???,Lettuce(head),Carbofuran,0.1
???,Lettuce(head),Captan,5
???,Lettuce(head),Chlorpropham,0.05
???,Lettuce(head),Tebuconazole,0.05
???,Lettuce(head),Tecnazene,2
???,Lettuce(head),Tolylfluanid,1
???,Lettuce(head),Trifluralin,0.05
???,Lettuce(head),Triflumizole,2
???,Lettuce(head),Thiodicarb,5
???,Lettuce(head),Thiobencarb,0.2
???,Lettuce(head),Thiophanate-methyl,5
???,Lettuce(head),Parathion,0.3
???,Lettuce(head),Parathion-Methyl,0.5
???,Lettuce(head),Permethrin(Permetrin),2
???,Lettuce(head),Pendimethalin,0.2
???,Lettuce(head),Fenvalerate,2
???,Lettuce(head),Fenbutatin oxide,2
???,Lettuce(head),Fenthion : MPP,0.5
???,Lettuce(head),Fenpyrazamine,15
???,Lettuce(head),Phosphamidone,0.1
???,Lettuce(head),Phoxim,0.1
???,Lettuce(head),Folpet,2
???,Lettuce(head),Furathiocarb,0.1
???,Lettuce(head),Procymidone,5
???,Lettuce(head),Propamocarb,10
???,Lettuce(head),Fluquinconazole,1
???,Lettuce(head),Flutolanil,0.7
???,Lettuce(head),Fluxapyroxad,5
???,Lettuce(head),Pyrethrins,1
???,Lettuce(head),Pyrimethanil,3
???,Lettuce(head),Pirimicarb,1
???,Lettuce(head),Pirimiphos-methyl,2
???,Lettuce(head),Pyrifluquinazon,1
???,Lettuce(head),Hexaconazole,0.1
??,Lettuce(leaf),Dazomet,0.1
??,Lettuce(leaf),Dinotefuran,10
??,Lettuce(leaf),Dimethomorph,20
??,Lettuce(leaf),Diethofencarb,5
??,Lettuce(leaf),Dichlofluanid,10
??,Lettuce(leaf),Difenoconazole,5
??,Lettuce(leaf),Lepimectin,1
??,Lettuce(leaf),Mandipropamid,30
??,Lettuce(leaf),Maleic hydrazide,25
??,Lettuce(leaf),Methamidophos,1
??,Lettuce(leaf),Metalaxyl,2
??,Lettuce(leaf),Metrafenone,20
??,Lettuce(leaf),Metribuzin,0.5
??,Lettuce(leaf),Methiocarb,0.2
??,Lettuce(leaf),Benomyl,5
??,Lettuce(leaf),Bentazone,0.2
??,Lettuce(leaf),Boscalid,20
??,Lettuce(leaf),Bifenthrin,3
??,Lettuce(leaf),Cypermethrin,10
??,Lettuce(leaf),Cyfluthrin,2
??,Lettuce(leaf),Cyhalothrin,2
??,Lettuce(leaf),Sulfoxaflor,5
??,Lettuce(leaf),Sethoxydim,10
??,Lettuce(leaf),Spinetoram,7
??,Lettuce(leaf),Hydrogen cyanide,5
??,Lettuce(leaf),Amisulbrom,10
??,Lettuce(leaf),Acetamiprid,5
??,Lettuce(leaf),Acephate,5
??,Lettuce(leaf),Azoxystrobin,20
??,Lettuce(leaf),Emamectin benzoate,0.1
??,Lettuce(leaf),Ethaboxam,1
??,Lettuce(leaf),Ethoprophos(Ethoprop),0.02
??,Lettuce(leaf),Ethiofencarb,10
??,Lettuce(leaf),Oxamyl,1
??,Lettuce(leaf),Imidacloprid,7
??,Lettuce(leaf),Carbendazim,5
??,Lettuce(leaf),Kresoxim-methyl,20
??,Lettuce(leaf),Chlorantraniliprole,7
??,Lettuce(leaf),Chlorfenapyr,5
??,Lettuce(leaf),Tebuconazole,0.05
??,Lettuce(leaf),Triflumizole,2
??,Lettuce(leaf),Thiamethoxam,15
??,Lettuce(leaf),Thiobencarb,0.2
??,Lettuce(leaf),Thiophanate-methyl,5
??,Lettuce(leaf),Parathion-Methyl,1
??,Lettuce(leaf),Paclobutrazol,7
??,Lettuce(leaf),Permethrin(Permetrin),3
??,Lettuce(leaf),Pendimethalin,0.2
??,Lettuce(leaf),Fenvalerate,2
??,Lettuce(leaf),Fenbutatin oxide,2
??,Lettuce(leaf),Fenpyrazamine,15
??,Lettuce(leaf),Phoxim,0.1
??,Lettuce(leaf),Procymidone,5
??,Lettuce(leaf),Propamocarb,10
??,Lettuce(leaf),Flonicamid,2
??,Lettuce(leaf),Fludioxonil,15
??,Lettuce(leaf),Flubendiamide,10
??,Lettuce(leaf),Fluquinconazole,0.05
??,Lettuce(leaf),Pyrethrins,1
??,Lettuce(leaf),Pirimicarb,1
??,Lettuce(leaf),Pyribencarb,15
??,Lettuce(leaf),Pyrifluquinazon,1
??,Lettuce(leaf),Pymetrozine,1
??,Lettuce(leaf),Hexaconazole,0.1
??,Longan,Cypermethrin,1
??,Longan,Cyhalothrin,0.2
??,Longan,Amitraz,0.01
??,Longan,Imidacloprid,0.7
??,Longan,Carbaryl : NAC,1
??,Longan,Chlorpyrifos,0.5
???,leafy vegatable,Dimethomorph,30
???,leafy vegatable,Diethofencarb,30
???,leafy vegatable,Lufenuron,5
???,leafy vegatable,Metalaxyl,5
???,leafy vegatable,Methoxyfenozide,20
???,leafy vegatable,Bifenthrin,2
???,leafy vegatable,Cyazofamid,10
???,leafy vegatable,Cyhalothrin,2
???,leafy vegatable,Spinosad,5
???,leafy vegatable,Acetamiprid,5
???,leafy vegatable,Azoxystrobin,20
???,leafy vegatable,Acrinathrin,5
???,leafy vegatable,Ethaboxam,15
???,leafy vegatable,Indoxacarb,3
???,leafy vegatable,Kresoxim-methyl,25
???,leafy vegatable,Chlorfenapyr,5
???,leafy vegatable,Chlorfluazuron,5
???,leafy vegatable,Clothianidin,3
???,leafy vegatable,Fenarimol,2
???,leafy vegatable,Fludioxonil,15
???,leafy vegatable,Flutolanil,15
???,leafy vegatable,Pyridaryl(Pyridalyl),15
??????,Mammalian by-product,Diquat,0.05
??????,Mammalian by-product,Dimethipin,0.01
??????,Mammalian by-product,Methoprene,0.1
??????,Mammalian by-product,Methoxyfenozide,0.2
??????,Mammalian by-product,Bioresmethrin,0.01
??????,Mammalian by-product,Cypermethrin,0.05
??????,Mammalian by-product,Sulfoxaflor,0.6
??????,Mammalian by-product,Spinetoram,0.01
??????,Mammalian by-product,Kresoxim-methyl,0.05
??????,Mammalian by-product,Permethrin(Permetrin),0.1
??????,Mammalian by-product,Fenvalerate,0.02
??????,Mammalian by-product,Fenbutatin oxide,0.2
??????,Mammalian by-product,Propiconazole,0.05
?????,Mammalian fat,Dimethoate,0.05
?????,Mammalian fat,Methoxyfenozide,0.3
?????,Mammalian fat,Sulfoxaflor,0.1
?????,Mammalian fat,Spinetoram,0.2
?????,Mammalian fat,Kresoxim-methyl,0.05
?????,Mammalian meat,Diquat,0.05
?????,Mammalian meat,"DDT : Sum of p,p'-DDT, o,p'-DDT, p,p'-DDE and p,p'-TDE(DDD)",5
?????,Mammalian meat,Dimethipin,0.01
?????,Mammalian meat,Dichlorvos : DDVP,0.05
?????,Mammalian meat,Diflubenzuron,0.05
?????,Mammalian meat,Methomyl,0.02
?????,Mammalian meat,Methoprene,0.2
?????,Mammalian meat,Methoxyfenozide,0.02
?????,Mammalian meat,Bioresmethrin,0.5
?????,Mammalian meat,Cypermethrin,0.2
?????,Mammalian meat,Cyhexatin,0.2
?????,Mammalian meat,Sulfoxaflor,0.3
?????,Mammalian meat,Spinetoram,0.01
?????,Mammalian meat,Azocyclotin,0.2
?????,Mammalian meat,Aldrin & Dieldrin,0.2
?????,Mammalian meat,Aldicarb,0.01
?????,Mammalian meat,"Endosulfan : Sum of £\,£]-endosulfan and endosulfan sulfate",0.1
?????,Mammalian meat,"2,4-D",0.05
?????,Mammalian meat,Kresoxim-methyl,0.05
?????,Mammalian meat,Chlordane,0.5
?????,Mammalian meat,Triadimenol,0.05
?????,Mammalian meat,Triadimefon,0.05
?????,Mammalian meat,Permethrin(Permetrin),1
?????,Mammalian meat,Fenitrothion : MEP,0.05
?????,Mammalian meat,Fenvalerate,1
?????,Mammalian meat,Fenbutatin oxide,0.05
?????,Mammalian meat,Phorate,0.05
?????,Mammalian meat,Propargite,0.1
?????,Mammalian meat,Profenofos,0.05
?????,Mammalian meat,Propoxur,0.05
?????,Mammalian meat,Propiconazole,0.05
?????,Mammalian meat,Pirimicarb,0.05
?????,Mammalian meat,Pirimiphos-methyl,0.05
